kernel,C,mean_accuracy,mean_precision,mean_recall,mean_f1
linear,1.0,0.673,0.663,0.659,0.655
linear,2.0,0.676,0.666,0.663,0.661
linear,3.0,0.671,0.661,0.66,0.658
linear,4.0,0.676,0.666,0.665,0.664
linear,5.0,0.676,0.665,0.664,0.663
linear,6.0,0.675,0.664,0.664,0.663
linear,7.0,0.678,0.666,0.666,0.665
linear,8.0,0.678,0.666,0.666,0.665
linear,9.0,0.678,0.666,0.666,0.665
linear,10.0,0.676,0.665,0.664,0.664
