kernel,C,mean_accuracy,mean_precision,mean_recall,mean_f1
linear,1.0,0.697,0.686,0.684,0.685
linear,2.0,0.698,0.688,0.684,0.685
linear,3.0,0.699,0.69,0.685,0.687
linear,4.0,0.69,0.681,0.675,0.677
linear,5.0,0.684,0.675,0.669,0.671
linear,6.0,0.682,0.674,0.668,0.67
linear,7.0,0.685,0.677,0.671,0.673
linear,8.0,0.68,0.672,0.666,0.668
linear,9.0,0.677,0.669,0.664,0.665
linear,10.0,0.675,0.666,0.662,0.664
